,report_no,offense,orc,date,block_begin,block_end,street_name,neighborhood,month,year,address,block_avg
187309,139034948.01,theft -(motor vehicle),2913-02 (24o) -theft -(motor vehicle),2013-12-31 00:01:00,,,nan,camp  washington,12,2013,,
188530,169018633.01,theft -(from motor vehicle),2913-02 (23f) -theft -(from motor vehicle),2016-07-19 16:00:00,,,nan,west  end,07,2016,,
189136,31010299.02,aggravated menacing,2903-21 (13c) -aggravated menacing,2010-10-11 18:00:00,,,nan,fay apartments,10,2010,,
189157,179000839.02,theft -(motor vehicle),2913-02 (24o) -theft -(motor vehicle),2017-01-08 09:00:00,,,nan,-,01,2017,,
189304,139032305.05,domestic violence -(simple assault),2919-25 (13b) -domestic violence -(simple assault),2013-11-21 18:00:00,,,nan,camp  washington,11,2013,,
189826,129003929.02,telecommunications harassment,2917-21 (90z) -telecommunications harassment,2012-02-14 15:00:00,,,nan,west  end,02,2012,,
189829,41106400.02,menacing,2903-22 (13c) -menacing,2011-10-02 14:00:00,,,nan,avondale,10,2011,,
190032,139020760.02,domestic violence -(simple assault),2919-25 (13b) -domestic violence -(simple assault),2013-08-05 15:50:00,,,nan,west  end,08,2013,,
190094,139013757.02,theft -(motor vehicle),2913-02 (24o) -theft -(motor vehicle),2013-06-01 15:00:00,,,nan,roselawn,06,2013,,
190111,41101391.02,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2011-03-03 17:30:00,,,nan,walnut hills,03,2011,,
190708,139025284.01,aggravated menacing,2903-21 (13c) -aggravated menacing,2013-09-16 15:33:00,,,nan,over-the-rhine,09,2013,,
191994,129017536.02,theft -(theft from building),2913-02 (23d) -theft -(theft from building),2012-06-14 11:30:00,,,nan,c. b. d. / riverfront,06,2012,,
192655,129035484.01,theft -(all other larceny),2913-02 (23h) -theft -(all other larceny),2012-12-03 19:30:00,,,nan,west price hill,12,2012,,
192995,139006870.03,theft -(shoplifting),2913-02 (23c) -theft -(shoplifting),2013-03-18 14:45:00,,,nan,oakley,03,2013,,
193276,11104087.03,burglary,2911-12 (220) -burglary,2011-10-07 15:00:00,,,nan,over-the-rhine,10,2011,,
193879,179034494.02,aggravated menacing,2903-21 (13c) -aggravated menacing,2017-08-24 19:30:00,,,nan,carthage,08,2017,,
194656,179046004.01,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2017-10-24 17:30:00,,,nan,camp  washington,10,2017,,
196156,169031441.01,endangering children,2919-22 (13a) -endangering children,2016-11-24 15:20:00,,,nan,-,11,2016,,
196206,169033693.02,domestic violence -(simple assault),2919-25 (13b) -domestic violence -(simple assault),2016-12-24 22:18:00,,,nan,-,12,2016,,
196509,179024343.04,assault -(simple assault),2903-13 (13b) -assault -(simple assault),2017-06-25 20:40:00,,,nan,spring grove village,06,2017,,
197890,179012904.01,theft -(all other larceny),2913-02 (23h) -theft -(all other larceny),2017-04-11 20:30:00,,,nan,-,04,2017,,
199741,179009615.01,domestic violence -(aggravated assault),2919-25 (13a) -domestic violence -(aggravated assault),2017-03-22 13:00:00,,,nan,carthage,03,2017,,
202154,179004034.03,felonious assault -(aggravated assault),2903-11 (13a) -felonious assault -(aggravated assault),2017-02-12 15:10:00,,,nan,camp  washington,02,2017,,
202182,179014903.01,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2017-04-27 17:45:00,,,nan,-,04,2017,,
206475,179023329.02,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2017-06-20 07:58:00,,,nan,camp  washington,06,2017,,
219457,179011324.02,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2017-04-03 20:00:00,,,nan,roselawn,04,2017,,
219976,179028250.02,assault -(simple assault),2903-13 (13b) -assault -(simple assault),2017-07-19 19:30:00,,,nan,california,07,2017,,
221087,179025899.03,theft -(motor vehicle),2913-02 (24o) -theft -(motor vehicle),2017-07-07 19:54:00,,,nan,-,07,2017,,
225927,179001127.01,assault -(simple assault),2903-13 (13b) -assault -(simple assault),2017-01-12 19:30:00,,,nan,oakley,01,2017,,
230354,179046627.01,domestic violence -(simple assault),2919-25 (13b) -domestic violence -(simple assault),2017-10-29 20:15:03,,,nan,evanston,10,2017,,
234529,179020056.01,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2017-06-01 17:30:00,,,nan,fay apartments,06,2017,,
237932,179020726.03,theft -(motor vehicle),2913-02 (24o) -theft -(motor vehicle),2017-06-04 21:30:00,,,nan,-,06,2017,,
238332,179013899.01,vehicular vandalism,2909-09 (290) -vehicular vandalism,2017-04-19 17:41:00,,,nan,avondale,04,2017,,
240497,179042927.01,theft -(motor vehicle),2913-02 (24o) -theft -(motor vehicle),2017-09-22 04:00:00,,,nan,-,09,2017,,
240864,179014670.02,theft -(motor vehicle),2913-02 (24o) -theft -(motor vehicle),2017-04-25 21:00:00,,,nan,-,04,2017,,
242878,179021979.01,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2017-06-13 13:28:00,,,nan,carthage,06,2017,,
