,report_no,offense,orc,date,block_begin,block_end,street_name,neighborhood,month,year,address,block_avg
129278,11104645.02,assault -(simple assault),2903-13 (13b) -assault -(simple assault),2011-11-17 08:45:00,,,nan,west  end,11,2011,,
129331,41103960.02,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2011-06-15 05:55:00,,,nan,walnut hills,06,2011,,
129899,21100464.02,breaking and entering,2911-13 (220) -breaking and entering,2010-11-01 12:00:00,,,nan,east  end,11,2010,,
129908,41103970.02,breaking and entering,2911-13 (220) -breaking and entering,2011-06-24 23:00:00,,,nan,mount  auburn,06,2011,,
130034,139018947.02,assault -(simple assault),2903-13 (13b) -assault -(simple assault),2013-07-19 13:40:00,,,nan,west price hill,07,2013,,
130259,31108595.03,theft -(theft from building),2913-02 (23d) -theft -(theft from building),2011-09-22 08:00:00,,,nan,millvale,09,2011,,
130425,41003942.01,vandalism,2909-05 (290) -vandalism,2010-07-01 01:15:00,,,nan,bondhill,07,2010,,
132085,149011850.01,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2014-05-21 14:28:00,,,nan,queensgate,05,2014,,
132863,21102393.01,theft -(shoplifting),2913-02 (23c) -theft -(shoplifting),2011-06-07 19:40:00,,,nan,oakley,06,2011,,
133384,159000102.01,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2015-01-01 00:00:00,,,nan,mount airy,01,2015,,
133513,129015637.02,breaking and entering,2911-13 (220) -breaking and entering,2012-06-08 17:00:00,,,nan,winton hills,06,2012,,
133859,149002430.03,theft -(from motor vehicle),2913-02 (23f) -theft -(from motor vehicle),2014-02-01 13:00:00,,,nan,mount  adams,02,2014,,
134352,169020211.02,assault -(simple assault),2903-13 (13b) -assault -(simple assault),2016-08-04 17:35:00,,,nan,evanston,08,2016,,
135748,129035316.02,theft -(motor vehicle),2913-02 (24o) -theft -(motor vehicle),2012-12-03 23:30:00,,,nan,clifton,12,2012,,
136087,129026391.01,theft -(all other larceny),2913-02 (23h) -theft -(all other larceny),2012-09-06 11:25:00,,,nan,hartwell,09,2012,,
136151,139027780.01,theft of license plate,2913-02 (24i) -theft of license plate,2013-10-04 13:30:00,,,nan,clifton/university heights,10,2013,,
136516,129008653.02,domestic violence -(simple assault),2919-25 (13b) -domestic violence -(simple assault),2012-03-28 02:12:00,,,nan,northside,03,2012,,
136678,21003277.01,theft -(shoplifting),2913-02 (23c) -theft -(shoplifting),2010-07-27 15:30:00,,,nan,oakley,07,2010,,
136887,129035738.01,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2012-12-07 22:00:00,,,nan,carthage,12,2012,,
137572,129013172.01,theft -(from motor vehicle),2913-02 (23f) -theft -(from motor vehicle),2012-05-16 17:30:00,,,nan,bondhill,05,2012,,
137653,159022951.03,robbery,2911-02 (120) -robbery,2015-08-24 14:30:00,,,nan,walnut hills,08,2015,,
138046,149005606.02,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2014-03-15 16:00:38,,,nan,walnut hills,03,2014,,
138160,11103235.04,aggravated robbery,2911-01 (120) -aggravated robbery,2011-08-09 01:53:00,,,nan,c. b. d. / riverfront,08,2011,,
138534,41007968.01,felonious assault -(aggravated assault),2903-11 (13a) -felonious assault -(aggravated assault),2010-12-12 12:40:00,,,nan,-,12,2010,,
138597,139014197.02,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2013-06-06 21:15:00,,,nan,c. b. d. / riverfront,06,2013,,
138728,129010985.02,theft -(from motor vehicle),2913-02 (23f) -theft -(from motor vehicle),2012-04-27 19:00:00,,,nan,c. b. d. / riverfront,04,2012,,
140176,179C000423.01,theft -(from motor vehicle),2913-02 (23f) -theft -(from motor vehicle),2017-07-09 18:57:00,,,nan,camp  washington,07,2017,,
140207,31104327.05,theft -(motor vehicle),2913-02 (24o) -theft -(motor vehicle),2011-05-24 18:30:00,,,nan,east price hill,05,2011,,
140517,129015412.02,aggravated menacing,2903-21 (13c) -aggravated menacing,2012-06-02 15:30:00,,,nan,hartwell,06,2012,,
140549,41004732.01,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2010-08-01 14:50:00,,,nan,walnut hills,08,2010,,
140568,129028621.02,theft -(from motor vehicle),2913-02 (23f) -theft -(from motor vehicle),2012-10-03 19:00:00,,,nan,c. b. d. / riverfront,10,2012,,
140792,149000897.01,aggravated vehicular homicide vehicular homicide vehicular manslaughter,2903-06 (90z) -aggravated vehicular homicide vehicular homicide vehicular manslaughter,2013-09-29 05:09:00,,,nan,northside,09,2013,,
140986,11103687.02,burglary,2911-12 (220) -burglary,2011-09-08 20:00:00,,,nan,over-the-rhine,09,2011,,
141164,51105585.02,breaking and entering,2911-13 (220) -breaking and entering,2011-10-01 15:00:00,,,nan,clifton,10,2011,,
143403,41006221.01,theft -(all other larceny),2913-02 (23h) -theft -(all other larceny),2010-09-30 15:15:00,,,nan,bondhill,09,2010,,
143476,51105230.02,domestic violence -(aggravated assault),2919-25 (13a) -domestic violence -(aggravated assault),2011-09-17 12:50:00,,,nan,clifton,09,2011,,
143691,139013484.01,theft -(all other larceny),2913-02 (23h) -theft -(all other larceny),2013-05-30 19:30:00,,,nan,west  end,05,2013,,
144142,21004166.03,domestic violence -(simple assault),2919-25 (13b) -domestic violence -(simple assault),2010-09-18 11:00:00,,,nan,-,09,2010,,
144659,21101740.01,theft -(shoplifting),2913-02 (23c) -theft -(shoplifting),2011-05-02 14:25:00,,,nan,oakley,05,2011,,
145452,11101027.01,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2011-03-19 16:35:00,,,nan,west  end,03,2011,,
145804,31006765.02,assault -(simple assault),2903-13 (13b) -assault -(simple assault),2010-07-14 00:00:00,,,nan,westwood,07,2010,,
146084,139014641.02,burglary,2911-12 (220) -burglary,2013-06-11 23:40:00,,,nan,west  end,06,2013,,
146354,149025721.01,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2014-10-09 17:25:00,,,nan,carthage,10,2014,,
146433,149018590.02,theft -(all other larceny),2913-02 (23h) -theft -(all other larceny),2014-07-30 00:01:00,,,nan,clifton,07,2014,,
147372,139010490.02,theft -(from motor vehicle),2913-02 (23f) -theft -(from motor vehicle),2013-05-01 18:00:00,,,nan,c. b. d. / riverfront,05,2013,,
147782,139012994.02,theft -(all other larceny),2913-02 (23h) -theft -(all other larceny),2013-05-25 20:00:00,,,nan,c. b. d. / riverfront,05,2013,,
147797,139002893.02,felonious assault -(aggravated assault),2903-11 (13a) -felonious assault -(aggravated assault),2013-02-03 02:45:00,,,nan,camp  washington,02,2013,,
147807,41104277.02,felonious assault -(aggravated assault),2903-11 (13a) -felonious assault -(aggravated assault),2011-07-08 17:05:00,,,nan,avondale,07,2011,,
147815,41006698.02,sexual imposition,2907-06 (11d) -sexual imposition,2010-10-12 11:15:00,,,nan,roselawn,10,2010,,
148246,11004581.01,domestic violence -(aggravated assault),2919-25 (13a) -domestic violence -(aggravated assault),2010-10-06 23:35:00,,,nan,over-the-rhine,10,2010,,
148378,51105196.02,breaking and entering,2911-13 (220) -breaking and entering,2011-09-15 00:00:00,,,nan,clifton,09,2011,,
148395,169021324.02,theft -(motor vehicle),2913-02 (24o) -theft -(motor vehicle),2016-08-19 23:00:00,,,nan,northside,08,2016,,
148989,129011022.02,theft -(motor vehicle parts),2913-02 (23g) -theft -(motor vehicle parts),2012-04-27 18:00:00,,,nan,carthage,04,2012,,
149162,139001106.01,vandalism,2909-05 (290) -vandalism,2013-01-12 02:00:00,,,nan,camp  washington,01,2013,,
149498,169007793.02,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2016-04-04 15:50:00,,,nan,camp  washington,04,2016,,
150487,169012768.02,domestic violence -(simple assault),2919-25 (13b) -domestic violence -(simple assault),2016-05-28 22:00:00,,,nan,-,05,2016,,
151147,129022803.03,theft -(motor vehicle),2913-02 (24o) -theft -(motor vehicle),2012-08-08 12:00:00,,,nan,northside,08,2012,,
151641,31101593.03,assault -(simple assault),2903-13 (13b) -assault -(simple assault),2011-02-26 18:15:00,,,nan,westwood,02,2011,,
151708,179004161.03,assault -(simple assault),2903-13 (13b) -assault -(simple assault),2017-02-10 15:00:00,,,nan,roselawn,02,2017,,
152350,159027337.02,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2015-10-04 14:40:00,,,nan,madisonville,10,2015,,
152711,139024832.02,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2013-09-05 07:30:00,,,nan,bondhill,09,2013,,
152938,149011244.01,theft -(shoplifting),2913-02 (23c) -theft -(shoplifting),2014-05-16 12:30:00,,,nan,oakley,05,2014,,
153886,61100265.02,theft -(from motor vehicle),2913-02 (23f) -theft -(from motor vehicle),2011-08-12 01:30:00,,,nan,bondhill,08,2011,,
154565,139026901.01,assault -(simple assault),2903-13 (13b) -assault -(simple assault),2013-09-29 15:00:00,,,nan,mount airy,09,2013,,
154950,139006687.02,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2013-03-22 02:59:00,,,nan,millvale,03,2013,,
155059,21003214.01,theft -(shoplifting),2913-02 (23c) -theft -(shoplifting),2010-07-24 21:50:00,,,nan,oakley,07,2010,,
156121,149014224.02,domestic violence -(simple assault),2919-25 (13b) -domestic violence -(simple assault),2014-06-11 23:00:00,,,nan,walnut hills,06,2014,,
156331,139023280.01,assault -(simple assault),2903-13 (13b) -assault -(simple assault),2013-08-28 07:30:00,,,nan,over-the-rhine,08,2013,,
156612,51007625.03,assault -(simple assault),2903-13 (13b) -assault -(simple assault),2010-12-19 19:30:00,,,nan,college  hill,12,2010,,
157730,21003905.03,theft -(shoplifting),2913-02 (23c) -theft -(shoplifting),2010-08-29 07:30:00,,,nan,oakley,08,2010,,
157817,139002156.02,theft -(pocket-picking),2913-02 (23a) -theft -(pocket-picking),2013-01-25 23:10:00,,,nan,west  end,01,2013,,
158120,41004880.02,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2010-08-01 14:30:00,,,nan,walnut hills,08,2010,,
158450,21101402.01,theft -(shoplifting),2913-02 (23c) -theft -(shoplifting),2011-04-11 18:50:00,,,nan,oakley,04,2011,,
158485,31006195.03,domestic violence - (simple assault),2919-25 (13b) - domestic violence - (simple assault),2010-07-01 22:40:00,,,nan,-,07,2010,,
158776,179006920.01,theft -(motor vehicle),2913-02 (24o) -theft -(motor vehicle),2017-03-04 17:00:00,,,nan,c. b. d. / riverfront,03,2017,,
158907,169020409.02,theft -(all other larceny),2913-02 (23h) -theft -(all other larceny),2016-08-10 17:00:00,,,nan,c. b. d. / riverfront,08,2016,,
158996,11005757.02,felonious assault -(aggravated assault),2903-11 (13a) -felonious assault -(aggravated assault),2010-12-27 03:30:00,,,nan,west  end,12,2010,,
159300,51102603.01,domestic violence -(simple assault),2919-25 (13b) -domestic violence -(simple assault),2011-05-16 14:10:00,,,nan,camp  washington,05,2011,,
159676,51103651.01,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2011-07-01 13:06:00,,,nan,camp  washington,07,2011,,
160361,179026337.02,aggravated menacing,2903-21 (13c) -aggravated menacing,2017-07-10 17:10:00,,,nan,walnut hills,07,2017,,
161079,21104180.01,theft -(shoplifting),2913-02 (23c) -theft -(shoplifting),2011-09-28 19:25:00,,,nan,oakley,09,2011,,
161167,21102282.02,telecommunications harassment,2917-21 (90z) -telecommunications harassment,2011-05-30 18:00:00,,,nan,mt.  washington,05,2011,,
161170,31009193.02,assault -(simple assault),2903-13 (13b) -assault -(simple assault),2010-09-13 18:55:00,,,nan,south  fairmount,09,2010,,
161333,159030433.02,aggravated menacing,2903-21 (13c) -aggravated menacing,2015-11-08 18:41:00,,,nan,c. b. d. / riverfront,11,2015,,
161391,139013836.02,vehicular vandalism,2909-09 (290) -vehicular vandalism,2013-06-02 13:45:00,,,nan,c. b. d. / riverfront,06,2013,,
162094,139017652.02,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2013-07-08 22:16:00,,,nan,camp  washington,07,2013,,
163302,149009569.03,theft of license plate,2913-02 (24i) -theft of license plate,2014-04-27 11:00:00,,,nan,camp  washington,04,2014,,
164366,11004860.02,theft -(motor vehicle),2913-02 (24o) -theft -(motor vehicle),2010-10-14 06:30:00,,,nan,west  end,10,2010,,
164370,139003833.01,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2013-02-11 14:45:00,,,nan,camp  washington,02,2013,,
164459,31101901.01,theft -(all other larceny),2913-02 (23h) -theft -(all other larceny),2011-03-01 01:00:00,,,nan,west price hill,03,2011,,
165487,21004162.01,theft -(shoplifting),2913-02 (23c) -theft -(shoplifting),2010-09-19 14:45:00,,,nan,oakley,09,2010,,
165507,139012508.02,assault -(simple assault),2903-13 (13b) -assault -(simple assault),2013-05-19 14:45:00,,,nan,avondale,05,2013,,
165608,Copy of 11005370.02,vandalism,2909-05 (290) -vandalism,2010-11-23 00:00:00,,,nan,c. b. d. / riverfront,11,2010,,
165766,129021679.02,theft -(all other larceny),2913-02 (23h) -theft -(all other larceny),2012-07-30 14:45:00,,,nan,roselawn,07,2012,,
165808,41104321.02,assault -(simple assault),2903-13 (13b) -assault -(simple assault),2011-07-04 19:20:00,,,nan,carthage,07,2011,,
166058,149032342.01,domestic violence -(simple assault),2919-25 (13b) -domestic violence -(simple assault),2014-12-20 20:00:00,,,nan,northside,12,2014,,
166516,169014612.01,felonious assault -(simple assault),2903-11 (13b) -felonious assault -(simple assault),2016-06-17 10:05:00,,,nan,roselawn,06,2016,,
166931,169023617.02,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2016-09-11 22:00:00,,,nan,o'bryonville,09,2016,,
167476,11100766.04,domestic violence -(simple assault),2919-25 (13b) -domestic violence -(simple assault),2011-02-25 15:00:00,,,nan,-,02,2011,,
167852,129020094.02,domestic violence -(simple assault),2919-25 (13b) -domestic violence -(simple assault),2012-07-20 07:20:00,,,nan,westwood,07,2012,,
167881,159032024.01,theft -(shoplifting),2913-02 (23c) -theft -(shoplifting),2015-11-27 05:50:00,,,nan,oakley,11,2015,,
167946,139016981.04,criminal damaging/endangering _ knowingly any means,2909-06a1 (290) -criminal damaging/endangering _ knowingly any means,2013-07-02 15:30:00,,,nan,queensgate,07,2013,,
168374,169022886.02,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2016-09-04 16:00:00,,,nan,c. b. d. / riverfront,09,2016,,
168411,21005333.01,theft -(shoplifting),2913-02 (23c) -theft -(shoplifting),2010-11-25 17:10:00,,,nan,oakley,11,2010,,
168852,11104648.02,felonious assault -(aggravated assault),2903-11 (13a) -felonious assault -(aggravated assault),2011-11-19 02:15:00,,,nan,west  end,11,2011,,
169976,139011038.02,assault -(simple assault),2903-13 (13b) -assault -(simple assault),2013-04-26 12:00:00,,,nan,walnut hills,04,2013,,
